customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Score,F_Score,M_Score,RFMClass_text,Segment,Segment_Sort
Humberto Kuhlman,4,4,234,1,1,1,111,5,5,5,555,VIP,1
Humberto Shields,2,6,104,1,2,2,122,5,4,4,544,VIP,1
Humphrey Feil,2,52,76,3,2,2,322,2,4,4,244,Big Spenders,3
Humphrey Kemmer,1,49,42,3,4,4,344,2,2,2,222,At Risk,6
Hung Beahan,5,35,280,2,1,1,211,3,5,5,355,Big Spenders,3
Hung Dare PhD,7,8,409,1,1,1,111,5,5,5,555,VIP,1
Hung Kertzmann,1,6,39,1,4,4,144,5,2,1,521,New/Higher Recency,4
Hunt Effertz,1,67,24,4,4,4,444,2,2,1,221,At Risk,6
Hunt Lubowitz,1,65,76,4,4,2,442,2,2,4,224,Regular,5
Hunt Morissette,2,48,120,3,2,1,321,2,4,4,244,Big Spenders,3
Hurbert Ernser,4,12,205,1,1,1,111,4,5,5,455,VIP,1
Hurbert O'Connell Jr.,1,88,76,4,4,2,442,1,2,4,124,Regular,5
Hurley Bashirian,1,64,39,4,4,4,444,2,2,1,221,At Risk,6
Hurley Schiller I,2,74,105,4,2,2,422,1,4,4,144,Big Spenders,3
Huston Marquardt,1,11,35,1,4,4,144,4,2,1,421,Regular,5
Huston Upton,1,78,59,4,4,3,443,1,2,3,123,Regular,5
Huy Rolfson,1,90,33,4,4,4,444,1,2,1,121,At Risk,6
Hyman Kemmer,5,4,257,1,1,1,111,5,5,5,555,VIP,1
Hyman Zemlak,2,32,143,2,2,1,221,3,4,5,345,Big Spenders,3
Hyrum Tillman,3,26,138,2,1,1,211,3,5,5,355,Big Spenders,3
Ibrahim McKenzie,3,15,200,2,1,1,211,4,5,5,455,VIP,1
Ibrahim Wolf,1,17,34,2,4,4,244,4,2,1,421,Regular,5
Icey Wehner,1,42,46,3,4,3,343,3,2,2,322,Regular,5
Icy Waelchi,1,8,53,1,4,3,143,5,2,2,522,New/Higher Recency,4
Ida Boyer PhD,2,18,80,2,2,2,222,4,4,4,444,VIP,1
Idabelle Hessel,1,49,35,3,4,4,344,2,2,1,221,At Risk,6
Idabelle Mante PhD,1,40,50,3,4,3,343,3,2,2,322,Regular,5
Idamae Casper,1,62,65,4,4,3,443,2,2,3,223,Regular,5
Idamae Davis,1,56,66,3,4,3,343,2,2,3,223,Regular,5
Idamae Wolff,1,45,42,3,4,4,344,3,2,2,322,Regular,5
Iesha Mraz,1,90,24,4,4,4,444,1,2,1,121,At Risk,6
Iesha Schimmel,1,11,44,1,4,4,144,4,2,2,422,Regular,5
Ignatius Gleichner,1,8,79,1,4,2,142,5,2,4,524,New/Higher Recency,4
Ignatius Goldner,2,14,90,2,2,2,222,4,4,4,444,VIP,1
Ignatius Huel,1,52,66,3,4,3,343,2,2,3,223,Regular,5
Ignatz Johnson DDS,5,48,265,3,1,1,311,2,5,5,255,Big Spenders,3
Ike Mertz,1,7,49,1,4,3,143,5,2,2,522,New/Higher Recency,4
Ike West,3,11,168,1,1,1,111,4,5,5,455,VIP,1
Ila Berge,1,17,38,2,4,4,244,4,2,1,421,Regular,5
Ilah Ankunding,2,12,143,1,2,1,121,4,4,5,445,VIP,1
Ilah Roob,4,14,163,2,1,1,211,4,5,5,455,VIP,1
Ilda Skiles,1,67,44,4,4,4,444,2,2,2,222,At Risk,6
Ilda Wiza,2,47,65,3,2,3,323,2,4,3,243,Big Spenders,3
Ilene Christiansen,1,40,33,3,4,4,344,3,2,1,321,Regular,5
Ilene Kris,1,31,28,2,4,4,244,3,2,1,321,Regular,5
Iliana Becker,1,6,33,1,4,4,144,5,2,1,521,New/Higher Recency,4
Iliana Carroll,1,41,58,3,4,3,343,3,2,2,322,Regular,5
Iliana Donnelly,1,30,37,2,4,4,244,3,2,1,321,Regular,5
Iliana Heaney,1,89,65,4,4,3,443,1,2,3,123,Regular,5
Iliana Stokes,5,6,229,1,1,1,111,5,5,5,555,VIP,1
Illa Harber,1,1,40,1,4,4,144,5,2,2,522,New/Higher Recency,4
Illa Herzog,1,83,63,4,4,3,443,1,2,3,123,Regular,5
Illa Waelchi MD,1,49,29,3,4,4,344,2,2,1,221,At Risk,6
Illya Harber,7,6,411,1,1,1,111,5,5,5,555,VIP,1
Illya Kris MD,2,74,85,4,2,2,422,1,4,4,144,Big Spenders,3
Illya Tremblay,2,11,82,1,2,2,122,4,4,4,444,VIP,1
Ilma Hickle,2,12,96,1,2,2,122,4,4,4,444,VIP,1
Ilma Shields,2,67,102,4,2,2,422,2,4,4,244,Big Spenders,3
Imani Swift,1,74,50,4,4,3,443,1,2,2,122,At Risk,6
Imanol Raynor,1,72,53,4,4,3,443,1,2,2,122,At Risk,6
Imelda Harber,2,53,125,3,2,1,321,2,4,5,245,Big Spenders,3
Immanuel Purdy,1,18,41,2,4,4,244,4,2,2,422,Regular,5
Immanuel Torp,2,47,49,3,2,3,323,2,4,2,242,Regular,5
Imo Adams,2,19,65,2,2,3,223,4,4,3,443,Loyal,2
Imo O'Keefe,1,19,29,2,4,4,244,4,2,1,421,Regular,5
Imo Oberbrunner,1,55,78,3,4,2,342,2,2,4,224,Regular,5
Imogene Nader,1,22,61,2,4,3,243,4,2,3,423,Regular,5
Imogene Pfannerstill MD,2,26,114,2,2,1,221,3,4,4,344,Big Spenders,3
India Heidenreich PhD,1,4,46,1,4,3,143,5,2,2,522,New/Higher Recency,4
Inez Mayer DVM,1,70,37,4,4,4,444,1,2,1,121,At Risk,6
Inez Pfeffer MD,1,46,76,3,4,2,342,2,2,4,224,Regular,5
Infant Goyette,1,73,66,4,4,3,443,1,2,3,123,Regular,5
Infant Klein,1,5,80,1,4,2,142,5,2,4,524,New/Higher Recency,4
Inga Abernathy,1,85,73,4,4,2,442,1,2,3,123,Regular,5
Inga Feest,2,2,100,1,2,2,122,5,4,4,544,VIP,1
Inga McLaughlin,1,89,33,4,4,4,444,1,2,1,121,At Risk,6
Inger Christiansen,11,10,727,1,1,1,111,5,5,5,555,VIP,1
Inger Gaylord,3,14,154,2,1,1,211,4,5,5,455,VIP,1
Ingram Zulauf,2,63,67,4,2,3,423,2,4,3,243,Big Spenders,3
Ingrid Lemke,1,6,56,1,4,3,143,5,2,2,522,New/Higher Recency,4
Ingrid O'Kon MD,2,12,152,1,2,1,121,4,4,5,445,VIP,1
Ingrid Reinger MD,2,46,72,3,2,2,322,2,4,3,243,Big Spenders,3
Ingrid Torp PhD,1,80,61,4,4,3,443,1,2,3,123,Regular,5
Ione Berge,1,46,42,3,4,4,344,2,2,2,222,At Risk,6
Ira Quitzon,4,21,264,2,1,1,211,4,5,5,455,VIP,1
Ireland Greenholt,6,4,373,1,1,1,111,5,5,5,555,VIP,1
Irena D'Amore,1,58,48,3,4,3,343,2,2,2,222,At Risk,6
Irena Okuneva,1,90,62,4,4,3,443,1,2,3,123,Regular,5
Irene Boehm,1,82,39,4,4,4,444,1,2,1,121,At Risk,6
Irene Jaskolski,2,13,81,2,2,2,222,4,4,4,444,VIP,1
Irene Kulas,1,57,55,3,4,3,343,2,2,2,222,At Risk,6
Iridian Abshire,1,29,27,2,4,4,244,3,2,1,321,Regular,5
Iridian Jast,1,18,75,2,4,2,242,4,2,3,423,Regular,5
Iridian Weimann,1,47,54,3,4,3,343,2,2,2,222,At Risk,6
Iris Grimes,1,27,63,2,4,3,243,3,2,3,323,Regular,5
Irl Bernhard,4,52,158,3,1,1,311,2,5,5,255,Big Spenders,3
Irl Fay II,3,40,158,3,1,1,311,3,5,5,355,Big Spenders,3
Irl Hyatt,1,12,59,1,4,3,143,4,2,3,423,Regular,5
Irl Kub,4,5,199,1,1,1,111,5,5,5,555,VIP,1
Irl Schulist,2,32,126,2,2,1,221,3,4,5,345,Big Spenders,3
Irva Goyette,1,81,57,4,4,3,443,1,2,2,122,At Risk,6
Irva Greenholt,1,0,72,1,4,2,142,5,2,3,523,New/Higher Recency,4
Irva Schmeler,1,35,45,2,4,3,243,3,2,2,322,Regular,5
Irva Smith,1,63,51,4,4,3,443,2,2,2,222,At Risk,6
Irven Eichmann,5,12,235,1,1,1,111,4,5,5,455,VIP,1
Irven Robel,1,21,42,2,4,4,244,4,2,2,422,Regular,5
Irvin Schuppe,1,22,43,2,4,4,244,4,2,2,422,Regular,5
Irvine Blanda,1,46,29,3,4,4,344,2,2,1,221,At Risk,6
Irvine Zemlak II,1,11,50,1,4,3,143,4,2,2,422,Regular,5
Irving Heidenreich,2,37,91,2,2,2,222,3,4,4,344,Big Spenders,3
Irving Hessel DVM,1,64,22,4,4,4,444,2,2,1,221,At Risk,6
Irving Luettgen,10,3,465,1,1,1,111,5,5,5,555,VIP,1
Irwin Mayer,2,28,120,2,2,1,221,3,4,4,344,Big Spenders,3
Irwin Ritchie,1,34,41,2,4,4,244,3,2,2,322,Regular,5
Isa Murazik,1,39,43,3,4,4,344,3,2,2,322,Regular,5
Isaac Tremblay,2,72,85,4,2,2,422,1,4,4,144,Big Spenders,3
Isaak Schinner,1,49,76,3,4,2,342,2,2,4,224,Regular,5
Isabel Schneider,2,51,103,3,2,2,322,2,4,4,244,Big Spenders,3
Isabela Mertz MD,1,67,55,4,4,3,443,1,2,2,122,At Risk,6
Isabell Berge,1,17,22,2,4,4,244,4,2,1,421,Regular,5
Isabelle Dicki,1,63,64,4,4,3,443,2,2,3,223,Regular,5
Isabelle Mertz,3,11,133,1,1,1,111,4,5,5,455,VIP,1
Isadora Trantow,1,12,51,1,4,3,143,4,2,2,422,Regular,5
Isai Larkin DDS,1,34,65,2,4,3,243,3,2,3,323,Regular,5
Isaiah Conroy,1,1,61,1,4,3,143,5,2,3,523,New/Higher Recency,4
Isaiah Ebert,1,24,56,2,4,3,243,4,2,2,422,Regular,5
Isaias Stroman,2,34,126,2,2,1,221,3,4,5,345,Big Spenders,3
Isamar Rogahn PhD,1,71,58,4,4,3,443,1,2,2,122,At Risk,6
Isham Cummings,1,47,58,3,4,3,343,2,2,2,222,At Risk,6
Isham Fritsch,1,38,48,2,4,3,243,3,2,2,322,Regular,5
Isiah Halvorson,2,36,49,2,2,3,223,3,4,2,342,Regular,5
Isiah Johns,2,6,90,1,2,2,122,5,4,4,544,VIP,1
Isiah Orn,1,9,72,1,4,2,142,5,2,3,523,New/Higher Recency,4
Isidor Jerde,2,39,125,3,2,1,321,3,4,5,345,Big Spenders,3
Isidor Kuhn,1,37,76,2,4,2,242,3,2,4,324,Regular,5
Isidor Veum,1,80,47,4,4,3,443,1,2,2,122,At Risk,6
Isidore Daniel,3,20,119,2,1,1,211,4,5,4,454,VIP,1
Isidore Skiles,1,17,75,2,4,2,242,4,2,3,423,Regular,5
Isidore Wiegand,1,11,45,1,4,3,143,4,2,2,422,Regular,5
Isidore Ziemann,2,5,126,1,2,1,121,5,4,5,545,VIP,1
Isidro Kiehn,5,11,229,1,1,1,111,4,5,5,455,VIP,1
Isidro Wilkinson,2,5,153,1,2,1,121,5,4,5,545,VIP,1
Isis Kutch,2,34,103,2,2,2,222,3,4,4,344,Big Spenders,3
Isis Mertz,1,45,76,3,4,2,342,3,2,4,324,Regular,5
Isis O'Reilly,1,65,71,4,4,2,442,2,2,3,223,Regular,5
Isla Hilpert,2,53,94,3,2,2,322,2,4,4,244,Big Spenders,3
Isom Boyle,1,4,74,1,4,2,142,5,2,3,523,New/Higher Recency,4
Isom Von,1,28,39,2,4,4,244,3,2,1,321,Regular,5
Israel Batz,2,3,101,1,2,2,122,5,4,4,544,VIP,1
Israel Buckridge,2,20,97,2,2,2,222,4,4,4,444,VIP,1
Israel Jenkins,1,20,25,2,4,4,244,4,2,1,421,Regular,5
Isreal O'Hara,1,68,68,4,4,2,442,1,2,3,123,Regular,5
Issac Hegmann,1,45,51,3,4,3,343,3,2,2,322,Regular,5
Issac Rosenbaum,1,81,48,4,4,3,443,1,2,2,122,At Risk,6
Itzel Hilll,1,37,33,2,4,4,244,3,2,1,321,Regular,5
Itzel Mante,1,73,22,4,4,4,444,1,2,1,121,At Risk,6
Iva Morissette,1,66,74,4,4,2,442,2,2,3,223,Regular,5
Iva Rice,1,47,40,3,4,4,344,2,2,2,222,At Risk,6
Iva Senger,1,87,39,4,4,4,444,1,2,1,121,At Risk,6
Ivan Hills,1,3,29,1,4,4,144,5,2,1,521,New/Higher Recency,4
Ivan Ledner,2,51,78,3,2,2,322,2,4,4,244,Big Spenders,3
Iver Beer Jr.,2,71,114,4,2,1,421,1,4,4,144,Big Spenders,3
Iver Botsford,3,37,164,2,1,1,211,3,5,5,355,Big Spenders,3
Iver Dickens,3,42,104,3,1,2,312,3,5,4,354,Big Spenders,3
Iverson Herman Sr.,1,68,39,4,4,4,444,1,2,1,121,At Risk,6
Iverson Hilpert,4,27,207,2,1,1,211,3,5,5,355,Big Spenders,3
Iverson Klein,1,12,48,1,4,3,143,4,2,2,422,Regular,5
Iverson Robel,2,11,100,1,2,2,122,4,4,4,444,VIP,1
Ivey DuBuque V,1,11,37,1,4,4,144,4,2,1,421,Regular,5
Ivie Pfeffer,1,47,71,3,4,2,342,2,2,3,223,Regular,5
Ivonne Considine,1,6,38,1,4,4,144,5,2,1,521,New/Higher Recency,4
Ivonne Mann,1,50,68,3,4,2,342,2,2,3,223,Regular,5
Ivonne Mosciski DDS,2,2,125,1,2,1,121,5,4,5,545,VIP,1
Ivory Waelchi,8,6,446,1,1,1,111,5,5,5,555,VIP,1
Ivy Bartell,1,33,71,2,4,2,242,3,2,3,323,Regular,5
Ivy Kohler,1,34,69,2,4,2,242,3,2,3,323,Regular,5
Ivy Rowe PhD,1,3,54,1,4,3,143,5,2,2,522,New/Higher Recency,4
Ivy Simonis,1,47,61,3,4,3,343,2,2,3,223,Regular,5
Iyanna Padberg,1,42,40,3,4,4,344,3,2,2,322,Regular,5
Iyanna Schmeler PhD,1,46,23,3,4,4,344,2,2,1,221,At Risk,6
Iza Wiza,12,5,603,1,1,1,111,5,5,5,555,VIP,1
Izabelle VonRueden,8,3,414,1,1,1,111,5,5,5,555,VIP,1
Izaiah Weimann I,1,43,38,3,4,4,344,3,2,1,321,Regular,5
Izayah Bailey Jr.,2,75,140,4,2,1,421,1,4,5,145,Big Spenders,3
Izayah Boyer,1,39,25,3,4,4,344,3,2,1,321,Regular,5
Izayah Funk,1,61,56,4,4,3,443,2,2,2,222,At Risk,6
Izayah Hackett,1,32,74,2,4,2,242,3,2,3,323,Regular,5
Izetta Erdman,1,68,20,4,4,4,444,1,2,1,121,At Risk,6
Izetta Stracke,1,66,66,4,4,3,443,2,2,3,223,Regular,5
Izora Ledner,1,43,57,3,4,3,343,3,2,2,322,Regular,5
Izora Nolan,9,12,454,1,1,1,111,4,5,5,455,VIP,1
Izora Orn,1,18,52,2,4,3,243,4,2,2,422,Regular,5
Izora Reilly,1,30,80,2,4,2,242,3,2,4,324,Regular,5
Jabari Rempel,3,47,141,3,1,1,311,2,5,5,255,Big Spenders,3
Jabari Wisozk,2,38,153,2,2,1,221,3,4,5,345,Big Spenders,3
Jabbar Dickens,1,43,37,3,4,4,344,3,2,1,321,Regular,5
Jabbar Marvin,1,38,36,2,4,4,244,3,2,1,321,Regular,5
Jabbar O'Connell,1,47,51,3,4,3,343,2,2,2,222,At Risk,6
Jabez Hegmann DVM,1,80,55,4,4,3,443,1,2,2,122,At Risk,6
Jabez O'Kon DDS,1,71,47,4,4,3,443,1,2,2,122,At Risk,6
Jace Hilll,2,6,112,1,2,1,121,5,4,4,544,VIP,1
Jace Morar,2,11,102,1,2,2,122,4,4,4,444,VIP,1
Jack Schowalter,2,14,73,2,2,2,222,4,4,3,443,Loyal,2
Jackeline Crist,1,85,72,4,4,2,442,1,2,3,123,Regular,5
Jacki Lemke,1,33,37,2,4,4,244,3,2,1,321,Regular,5
Jacki Torp MD,1,46,42,3,4,4,344,2,2,2,222,At Risk,6
Jackie Gusikowski,1,32,71,2,4,2,242,3,2,3,323,Regular,5
Jacklyn Will DDS,2,45,87,3,2,2,322,3,4,4,344,Big Spenders,3
Jackson Cronin,2,25,143,2,2,1,221,4,4,5,445,VIP,1
Jacky Fisher,2,43,123,3,2,1,321,3,4,4,344,Big Spenders,3
Jaclyn Crist PhD,2,64,135,4,2,1,421,2,4,5,245,Big Spenders,3
Jaclyn Crooks,1,76,30,4,4,4,444,1,2,1,121,At Risk,6
Jaclyn Harris,1,46,72,3,4,2,342,2,2,3,223,Regular,5
Jacob Huels,1,89,24,4,4,4,444,1,2,1,121,At Risk,6
Jacob Streich,1,31,74,2,4,2,242,3,2,3,323,Regular,5
Jacoby Goldner,1,46,67,3,4,3,343,2,2,3,223,Regular,5
Jacoby Jacobs,2,4,101,1,2,2,122,5,4,4,544,VIP,1
Jacoby Marks,1,5,70,1,4,2,142,5,2,3,523,New/Higher Recency,4
Jacque Grimes,2,5,62,1,2,3,123,5,4,3,543,Loyal,2
Jacque Kovacek,1,42,37,3,4,4,344,3,2,1,321,Regular,5
Jacque Zemlak MD,22,5,1214,1,1,1,111,5,5,5,555,VIP,1
Jacquelin Kunde,1,84,51,4,4,3,443,1,2,2,122,At Risk,6
Jacqueline Nikolaus,2,47,45,3,2,3,323,2,4,2,242,Regular,5
Jacqueline Volkman,1,29,38,2,4,4,244,3,2,1,321,Regular,5
Jacquelyn Ankunding PhD,3,39,198,3,1,1,311,3,5,5,355,Big Spenders,3
Jacquelyn Gutmann,1,61,72,4,4,2,442,2,2,3,223,Regular,5
Jacques Mueller,1,77,56,4,4,3,443,1,2,2,122,At Risk,6
Jacquez Jacobs,1,11,65,1,4,3,143,4,2,3,423,Regular,5
Jacquline Pfannerstill,1,47,21,3,4,4,344,2,2,1,221,At Risk,6
Jacquline Runolfsdottir,8,38,353,2,1,1,211,3,5,5,355,Big Spenders,3
Jacqulyn Pfannerstill,1,43,43,3,4,4,344,3,2,2,322,Regular,5
Jacqulyn Rosenbaum DDS,4,12,170,1,1,1,111,4,5,5,455,VIP,1
Jada Okuneva,4,78,229,4,1,1,411,1,5,5,155,Big Spenders,3
Jade Bechtelar,1,64,58,4,4,3,443,2,2,2,222,At Risk,6
Jade Kassulke DVM,2,25,99,2,2,2,222,4,4,4,444,VIP,1
Jade Mohr PhD,1,72,61,4,4,3,443,1,2,3,123,Regular,5
Jaden Boehm,1,78,57,4,4,3,443,1,2,2,122,At Risk,6
Jaden Johnston,3,39,125,3,1,1,311,3,5,5,355,Big Spenders,3
Jaden Kuphal,1,70,23,4,4,4,444,1,2,1,121,At Risk,6
Jadiel Wunsch,1,77,22,4,4,4,444,1,2,1,121,At Risk,6
Jadon Bahringer,1,27,59,2,4,3,243,3,2,3,323,Regular,5
Jadon Gerhold,1,9,50,1,4,3,143,5,2,2,522,New/Higher Recency,4
Jadon Johns,6,4,339,1,1,1,111,5,5,5,555,VIP,1
Jadon Larson,1,29,49,2,4,3,243,3,2,2,322,Regular,5
Jadon O'Conner,2,40,83,3,2,2,322,3,4,4,344,Big Spenders,3
Jadyn Bogan,1,31,61,2,4,3,243,3,2,3,323,Regular,5
Jadyn Kohler,5,11,255,1,1,1,111,4,5,5,455,VIP,1
Jadyn O'Kon DDS,1,3,74,1,4,2,142,5,2,3,523,New/Higher Recency,4
Jaeda Brown PhD,2,39,115,3,2,1,321,3,4,4,344,Big Spenders,3
Jaelyn Ledner,6,3,245,1,1,1,111,5,5,5,555,VIP,1
Jagger Klocko MD,1,68,48,4,4,3,443,1,2,2,122,At Risk,6
Jahiem Waelchi,1,89,21,4,4,4,444,1,2,1,121,At Risk,6
Jahir Hackett,1,47,48,3,4,3,343,2,2,2,222,At Risk,6
Jahir Nikolaus I,2,20,51,2,2,3,223,4,4,2,442,Loyal,2
Jahir Nitzsche,1,47,56,3,4,3,343,2,2,2,222,At Risk,6
Jahir Pfeffer,1,33,54,2,4,3,243,3,2,2,322,Regular,5
Jahir Shanahan,1,61,29,4,4,4,444,2,2,1,221,At Risk,6
Jahir Von,1,25,47,2,4,3,243,4,2,2,422,Regular,5
Jaida Hahn,1,11,29,1,4,4,144,4,2,1,421,Regular,5
Jaida Jones,2,12,94,1,2,2,122,4,4,4,444,VIP,1
Jaida Maggio,1,84,78,4,4,2,442,1,2,4,124,Regular,5
Jaida Von,2,40,108,3,2,1,321,3,4,4,344,Big Spenders,3
Jaiden Hermiston,3,40,202,3,1,1,311,3,5,5,355,Big Spenders,3
Jaiden Walter,1,3,26,1,4,4,144,5,2,1,521,New/Higher Recency,4
Jaiden Wolff,3,35,128,2,1,1,211,3,5,5,355,Big Spenders,3
Jaidyn Gutmann,1,45,56,3,4,3,343,3,2,2,322,Regular,5
Jaidyn Romaguera,1,30,74,2,4,2,242,3,2,3,323,Regular,5
Jailene Abbott DDS,3,31,132,2,1,1,211,3,5,5,355,Big Spenders,3
Jailene Kris,1,70,65,4,4,3,443,1,2,3,123,Regular,5
Jailyn Connelly,3,19,172,2,1,1,211,4,5,5,455,VIP,1
Jailyn Hilll PhD,2,4,105,1,2,2,122,5,4,4,544,VIP,1
Jailyn Koepp,1,78,68,4,4,2,442,1,2,3,123,Regular,5
Jaime Cruickshank,2,3,73,1,2,2,122,5,4,3,543,Loyal,2
Jaime Hintz,1,40,35,3,4,4,344,3,2,1,321,Regular,5
Jaime Kutch,1,4,51,1,4,3,143,5,2,2,522,New/Higher Recency,4
Jaime Mueller Sr.,4,12,244,1,1,1,111,4,5,5,455,VIP,1
Jaime Nader,3,37,134,2,1,1,211,3,5,5,355,Big Spenders,3
Jaime Prosacco Jr.,1,88,77,4,4,2,442,1,2,4,124,Regular,5
Jaimee Jenkins,1,24,60,2,4,3,243,4,2,3,423,Regular,5
Jair Dooley,2,45,95,3,2,2,322,3,4,4,344,Big Spenders,3
Jair Tremblay,1,12,43,1,4,4,144,4,2,2,422,Regular,5
Jakayla Dach,2,48,114,3,2,1,321,2,4,4,244,Big Spenders,3
Jakayla Runte DDS,1,22,49,2,4,3,243,4,2,2,422,Regular,5
Jake Kemmer,1,78,65,4,4,3,443,1,2,3,123,Regular,5
Jake Rau,1,56,71,3,4,2,342,2,2,3,223,Regular,5
Jake Rice,2,45,88,3,2,2,322,3,4,4,344,Big Spenders,3
Jake Wolff,1,46,31,3,4,4,344,2,2,1,221,At Risk,6
Jakob Larson DDS,4,3,187,1,1,1,111,5,5,5,555,VIP,1
Jakob Wilkinson,1,68,28,4,4,4,444,1,2,1,121,At Risk,6
Jakobe Cruickshank III,2,58,108,3,2,1,321,2,4,4,244,Big Spenders,3
Jakobe Rohan,3,6,77,1,1,2,112,5,5,4,554,VIP,1
Jaleesa Schoen,4,4,270,1,1,1,111,5,5,5,555,VIP,1
Jalen Hoppe,2,25,132,2,2,1,221,4,4,5,445,VIP,1
Jalen Lebsack,4,15,196,2,1,1,211,4,5,5,455,VIP,1
Jalen Schoen,3,41,170,3,1,1,311,3,5,5,355,Big Spenders,3
Jalissa Shields,2,40,105,3,2,2,322,3,4,4,344,Big Spenders,3
Jaliyah Purdy,2,29,103,2,2,2,222,3,4,4,344,Big Spenders,3
Jalon Raynor,4,4,224,1,1,1,111,5,5,5,555,VIP,1
Jalyn Howell,1,88,71,4,4,2,442,1,2,3,123,Regular,5
Jalynn Hettinger,2,3,61,1,2,3,123,5,4,3,543,Loyal,2
Jalynn Witting,9,4,473,1,1,1,111,5,5,5,555,VIP,1
Jamar Rohan,1,87,35,4,4,4,444,1,2,1,121,At Risk,6
Jamari Bergstrom,1,37,56,2,4,3,243,3,2,2,322,Regular,5
Jamarion Braun,1,66,75,4,4,2,442,2,2,3,223,Regular,5
Jamarion Hammes,1,40,63,3,4,3,343,3,2,3,323,Regular,5
Jamarion Kassulke,1,60,43,4,4,4,444,2,2,2,222,At Risk,6
Jame Huels,2,4,69,1,2,2,122,5,4,3,543,Loyal,2
Jameel Rau,2,9,138,1,2,1,121,5,4,5,545,VIP,1
James Feil,1,6,44,1,4,4,144,5,2,2,522,New/Higher Recency,4
Jameson Jacobson,3,40,145,3,1,1,311,3,5,5,355,Big Spenders,3
Jamey Davis,2,58,103,3,2,2,322,2,4,4,244,Big Spenders,3
Jamey Deckow DVM,1,45,44,3,4,4,344,3,2,2,322,Regular,5
Jamey Farrell,1,36,54,2,4,3,243,3,2,2,322,Regular,5
Jamey Ratke,1,89,75,4,4,2,442,1,2,3,123,Regular,5
Jamey Tremblay,3,5,177,1,1,1,111,5,5,5,555,VIP,1
Jamie Walter,1,18,66,2,4,3,243,4,2,3,423,Regular,5
Jamil Abbott,1,37,80,2,4,2,242,3,2,4,324,Regular,5
Jamil Kozey Sr.,1,43,30,3,4,4,344,3,2,1,321,Regular,5
Jamila Hamill,3,40,188,3,1,1,311,3,5,5,355,Big Spenders,3
Jamila McGlynn,1,42,41,3,4,4,344,3,2,2,322,Regular,5
Jamila Russel,1,5,63,1,4,3,143,5,2,3,523,New/Higher Recency,4
Jamila Stamm,1,42,73,3,4,2,342,3,2,3,323,Regular,5
Jamin Yost,2,5,117,1,2,1,121,5,4,4,544,VIP,1
Jamir Eichmann,1,28,45,2,4,3,243,3,2,2,322,Regular,5
Jamir McLaughlin,1,79,23,4,4,4,444,1,2,1,121,At Risk,6
Jamir Sauer,1,4,55,1,4,3,143,5,2,2,522,New/Higher Recency,4
Jamison Buckridge,2,4,80,1,2,2,122,5,4,4,544,VIP,1
Jamison Durgan,2,80,140,4,2,1,421,1,4,5,145,Big Spenders,3
Jamison Fadel,1,87,65,4,4,3,443,1,2,3,123,Regular,5
Jamison Prohaska,1,20,73,2,4,2,242,4,2,3,423,Regular,5
Jammie Abshire PhD,1,45,28,3,4,4,344,3,2,1,321,Regular,5
Jammie Kiehn III,3,19,109,2,1,1,211,4,5,4,454,VIP,1
Jammie Runolfsdottir,2,59,98,3,2,2,322,2,4,4,244,Big Spenders,3
Jamya Ebert,1,47,57,3,4,3,343,2,2,2,222,At Risk,6
Jan Champlin,1,45,34,3,4,4,344,3,2,1,321,Regular,5
Jan Homenick,1,12,75,1,4,2,142,4,2,3,423,Regular,5
Jan Sanford MD,1,46,58,3,4,3,343,2,2,2,222,At Risk,6
Jana Kutch,1,39,27,3,4,4,344,3,2,1,321,Regular,5
Jana O'Kon,1,27,22,2,4,4,244,3,2,1,321,Regular,5
Jana Romaguera DVM,4,1,244,1,1,1,111,5,5,5,555,VIP,1
Janay Koepp,1,4,24,1,4,4,144,5,2,1,521,New/Higher Recency,4
Janay Ruecker,1,26,41,2,4,4,244,3,2,2,322,Regular,5
Jane Abbott,1,10,38,1,4,4,144,5,2,1,521,New/Higher Recency,4
Jane Bins,1,32,22,2,4,4,244,3,2,1,321,Regular,5
Jane Koepp,1,3,41,1,4,4,144,5,2,2,522,New/Higher Recency,4
Jane Nicolas MD,1,3,47,1,4,3,143,5,2,2,522,New/Higher Recency,4
Janeen West,2,4,104,1,2,2,122,5,4,4,544,VIP,1
Janell Dicki,1,11,29,1,4,4,144,4,2,1,421,Regular,5
Janell Heller DVM,2,28,109,2,2,1,221,3,4,4,344,Big Spenders,3
Janell Reynolds,1,32,41,2,4,4,244,3,2,2,322,Regular,5
Janell Waelchi,1,22,52,2,4,3,243,4,2,2,422,Regular,5
Janell Waters,9,5,443,1,1,1,111,5,5,5,555,VIP,1
Janene Donnelly,1,46,59,3,4,3,343,2,2,3,223,Regular,5
Janet Carter DVM,1,13,26,2,4,4,244,4,2,1,421,Regular,5
Janet Gerlach,2,11,103,1,2,2,122,4,4,4,444,VIP,1
Janette Satterfield,2,39,97,3,2,2,322,3,4,4,344,Big Spenders,3
Janey Quigley,1,2,29,1,4,4,144,5,2,1,521,New/Higher Recency,4
Janey Reilly DVM,2,32,78,2,2,2,222,3,4,4,344,Big Spenders,3
Janiah Ebert,9,12,424,1,1,1,111,4,5,5,455,VIP,1
